full_name,owner,name,description,url,stars,forks,primary_language,releases,age_years,size_bytes,repository,total_classes,avg_cbo,median_cbo,std_cbo,avg_dit,median_dit,std_dit,avg_lcom,median_lcom,std_lcom,total_loc,avg_loc_per_class,max_cbo,max_dit,max_lcom
GrowingGit/GitHub-Chinese-Top-Charts,GrowingGit,GitHub-Chinese-Top-Charts,:cn: GitHub中文排行榜，各语言分设「软件 | 资料」榜单，精准定位中文好项目。各取所需，高效学习。,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,102123,13268,Java,0,6.02,125,GrowingGit_GitHub-Chinese-Top-Charts,1,0.0,0.0,nan,1.0,1.0,nan,0.0,0.0,nan,5,5.0,0,1,0
Snailclimb/JavaGuide,Snailclimb,JavaGuide,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！,https://github.com/Snailclimb/JavaGuide,151713,45988,Java,0,7.35,6730,Snailclimb_JavaGuide,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan
macrozheng/mall,macrozheng,mall,mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于Spring Boot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。,https://github.com/macrozheng/mall,81561,29446,Java,3,7.44,2755967,macrozheng_mall,760,3.9342105263157894,3.0,4.966914318526482,1.2394736842105263,1.0,0.43921085880212773,1110.803947368421,13.0,8155.555246123951,100903,132.7671052631579,45,4,161554
krahets/hello-algo,krahets,hello-algo,"《Hello 算法》：动画图解、一键运行的数据结构与算法教程。支持 Python, Java, C++, C, C#, JS, Go, Swift, Rust, Ruby, Kotlin, TS, Dart 代码。简体版和繁体版同步更新，English version in translation",https://github.com/krahets/hello-algo,116577,14389,Java,9,2.86,3048935,krahets_hello-algo,215,1.8744186046511628,2.0,1.512578571876796,1.0,1.0,0.0,4.706976744186046,1.0,10.457868194443542,7707,35.84651162790698,11,1,66
doocs/advanced-java,doocs,advanced-java,😮 Core Interview Questions & Answers For Experienced Java(Backend) Developers | 互联网 Java 工程师进阶知识完全扫盲：涵盖高并发、分布式、高可用、微服务、海量数据处理等领域知识,https://github.com/doocs/advanced-java,78224,19258,Java,1,6.94,180,doocs_advanced-java,1,0.0,0.0,nan,1.0,1.0,nan,0.0,0.0,nan,5,5.0,0,1,0
iluwatar/java-design-patterns,iluwatar,java-design-patterns,Design patterns implemented in Java,https://github.com/iluwatar/java-design-patterns,92655,27170,Java,0,11.1,4647514,iluwatar_java-design-patterns,1894,3.3632523759239703,3.0,2.5983133182959235,1.197465681098205,1.0,0.5262009057092045,1.8405491024287224,0.0,6.473067688345661,35484,18.73495248152059,22,6,153
Stirling-Tools/Stirling-PDF,Stirling-Tools,Stirling-PDF,#1 Locally hosted web application that allows you to perform various operations on PDF files,https://github.com/Stirling-Tools/Stirling-PDF,67114,5678,Java,138,2.63,4066787,Stirling-Tools_Stirling-PDF,585,8.208547008547008,5.0,8.042327798131462,1.2324786324786325,1.0,0.5588376298586843,16.724786324786326,0.0,73.07852188306433,35492,60.67008547008547,59,6,825
kdn251/interviews,kdn251,interviews,Everything you need to know to get the job.,https://github.com/kdn251/interviews,64458,12952,Java,0,8.58,674404,kdn251_interviews,257,1.1945525291828794,1.0,1.2535455552727108,1.0038910505836576,1.0,0.062378286155180526,0.2918287937743191,0.0,0.9293664686623517,5621,21.8715953307393,7,2,10
TheAlgorithms/Java,TheAlgorithms,Java,All Algorithms implemented in Java,https://github.com/TheAlgorithms/Java,63349,20254,Java,0,9.16,3464204,TheAlgorithms_Java,1505,2.0624584717607974,2.0,1.456854877037858,1.0438538205980066,1.0,0.2790390613629405,7.9661129568106315,1.0,27.335451512924088,57623,38.287707641196015,14,7,780
MisterBooo/LeetCodeAnimation,MisterBooo,LeetCodeAnimation,Demonstrate all the questions on LeetCode in the form of animation.（用动画的形式呈现解LeetCode题目的思路）,https://github.com/MisterBooo/LeetCodeAnimation,76443,14018,Java,0,6.77,568220,MisterBooo_LeetCodeAnimation,4,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,78,19.5,1,1,0
spring-projects/spring-framework,spring-projects,spring-framework,Spring Framework,https://github.com/spring-projects/spring-framework,58828,38689,Java,343,14.77,49884611,spring-projects_spring-framework,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan
NationalSecurityAgency/ghidra,NationalSecurityAgency,ghidra,Ghidra is a software reverse engineering (SRE) framework,https://github.com/NationalSecurityAgency/ghidra,60414,6724,Java,46,6.54,113030597,NationalSecurityAgency_ghidra,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan
google/guava,google,guava,Google core libraries for Java,https://github.com/google/guava,51097,11070,Java,56,11.29,27130355,google_guava,6432,4.039800995024875,2.0,5.647690654204661,1.80068407960199,1.0,2.2542648462187844,48.067630597014926,0.0,448.3042871529925,254207,39.52223258706468,82,66,18721
