repo,stars,releases,idade_anos,cbo,dit,lcom,loc,locComment
00-Evan/shattered-pixel-dungeon,5504,30,11.14,6.342164179104477,2.848507462686567,13.916791044776119,59.25559701492537,0
1024-lab/smart-admin,3519,22,5.85,6.414335664335664,1.2272727272727273,3.7902097902097904,22.5,0
201206030/novel-plus,4259,30,5.39,6.47921760391198,1.2102689486552567,46.62836185819071,37.42053789731052,0
201206030/novel,5456,12,5.86,4.415841584158416,1.0693069306930694,20.485148514851485,22.495049504950494,0
2227324689/gpmall,5000,0,6.18,4.97877358490566,1.3608490566037736,8.169811320754716,20.90801886792453,0
527515025/springBoot,6703,0,8.87,5.087121212121212,1.1477272727272727,15.496212121212121,23.674242424242426,0
648540858/wvp-GB28181-pro,6276,1,4.85,8.230974632843791,1.295060080106809,35.12950600801068,62.93591455273698,0
981011512/--,4619,0,5.25,3.541921483527323,2.910830538567765,440.4263168277767,66.69461432235155,0
aa112901/remusic,6359,0,9.5,5.190532544378698,1.4532544378698224,41.646153846153844,56.55147928994083,0
abel533/Mapper,7370,8,10.84,5.056768558951965,1.24235807860262,36.1768558951965,41.7117903930131,0
Activiti/Activiti,10426,30,13.02,5.8018784854710885,1.5309656589374816,89.4109186968007,45.664220722042856,0
aeron-io/aeron,8117,30,11.62,7.830921553693831,1.2985529322162985,113.66031987814166,93.45696877380045,0
ageerle/ruoyi-ai,3894,6,1.68,6.375455650060753,1.2831105710814095,13.326852976913731,31.641555285540704,0
airbnb/DeepLinkDispatch,4407,24,10.28,6.2,1.48,88.64,341.96,0
airbnb/epoxy,8561,30,9.12,6.878688524590164,1.8262295081967213,138.77377049180328,70.96065573770491,0
airbnb/lottie-android,35477,30,8.96,6.897610921501706,1.286689419795222,33.41296928327645,61.0580204778157,0
alamkanak/Android-Week-View,3450,4,11.01,3.6296296296296298,1.2592592592592593,238.33333333333334,74.18518518518519,0
alibaba/Alink,3609,22,6.98,6.437721549932771,1.62657376848796,34.70272582813837,58.1343356557878,0
alibaba/ARouter,14493,16,8.77,3.693877551020408,1.4081632653061225,17.448979591836736,32.295918367346935,0
alibaba/arthas,36731,30,7.06,4.734243697478991,1.35609243697479,36.66386554621849,50.21533613445378,0
alibaba/atlas,8151,7,8.56,5.638559708295351,1.4357338195077485,29.88422971741112,71.79307201458523,0
